description,category,dk_pn,mfr_pn,mfr,qty_shipped,gbp_unit_price,gbp_ext_price,invoice_id,date_shipped,series,product_status,package_type,core_processor,core_type,clock_speed,program_memory_size,other_parameters
FPC/FFC SMT CONNECTOR STENCIL,"Solder Stencils, Templates",315-FPC050P040-DPT-S-ND,FPC050P040-DPT-S,Chip Quik Inc.,1,£11.58000,£11.58,118610462,2025-12-02T10:58:52.794Z,Proto-Advantage FPC,Active,Bulk,,,,,"{""Type"": ""FPC/FFC"", ""Number of Positions"": ""40"", ""Pitch"": ""0.020\"" (0.50mm)"", ""Outer Dimension"": ""1.300\"" L x 0.900\"" W (33.02mm x 22.86mm)"", ""Inner Dimension"": ""-"", ""Thermal Center Pad"": ""-"", ""Material"": ""Stainless Steel"", ""Thickness"": ""0.0040\"" (0.102mm)""}"
MSOP-16 STENCIL,"Solder Stencils, Templates",IPC0079-S-ND,IPC0079-S,Chip Quik Inc.,1,£8.89000,£8.89,118610462,2025-12-02T10:58:52.794Z,Proto-Advantage IPC,Active,Bulk,,,,,"{""Type"": ""MSOP"", ""Number of Positions"": ""16"", ""Pitch"": ""0.020\"" (0.50mm)"", ""Outer Dimension"": ""1.300\"" L x 0.900\"" W (33.02mm x 22.86mm)"", ""Inner Dimension"": ""0.157\"" L x 0.118\"" W (4.00mm x 3.00mm)"", ""Thermal Center Pad"": ""0.118\"" L x 0.063\"" W (3.00mm x 1.60mm)"", ""Material"": ""Stainless Steel"", ""Thickness"": ""0.0040\"" (0.102mm)""}"
QFN-36 STENCIL,"Solder Stencils, Templates",IPC0024-S-ND,IPC0024-S,Chip Quik Inc.,1,£8.89000,£8.89,118610462,2025-12-02T10:58:52.794Z,Proto-Advantage IPC,Active,Bulk,,,,,"{""Type"": ""QFN/LFCSP"", ""Number of Positions"": ""36"", ""Pitch"": ""0.020\"" (0.50mm)"", ""Outer Dimension"": ""1.300\"" L x 0.900\"" W (33.02mm x 22.86mm)"", ""Inner Dimension"": ""0.236\"" L x 0.236\"" W (6.00mm x 6.00mm)"", ""Thermal Center Pad"": ""0.161\"" L x 0.161\"" W (4.10mm x 4.10mm)"", ""Material"": ""Stainless Steel"", ""Thickness"": ""0.0040\"" (0.102mm)""}"
STENCIL 5X5 MM .5MM,"Solder Stencils, Templates",IPC0020-S-ND,IPC0020-S,Chip Quik Inc.,1,£8.89000,£8.89,118610462,2025-12-02T10:58:52.794Z,Proto-Advantage IPC,Active,Bulk,,,,,"{""Type"": ""QFN/LFCSP"", ""Number of Positions"": ""32"", ""Pitch"": ""0.020\"" (0.50mm)"", ""Outer Dimension"": ""1.300\"" L x 0.900\"" W (33.02mm x 22.86mm)"", ""Inner Dimension"": ""0.197\"" L x 0.197\"" W (5.00mm x 5.00mm)"", ""Thermal Center Pad"": ""0.122\"" L x 0.122\"" W (3.10mm x 3.10mm)"", ""Material"": ""Stainless Steel"", ""Thickness"": ""0.0040\"" (0.102mm)""}"
SOIC-8 STENCIL,"Solder Stencils, Templates",PA0001-S-ND,PA0001-S,Chip Quik Inc.,1,£8.89000,£8.89,118610462,2025-12-02T10:58:52.794Z,Proto-Advantage PA,Active,Bulk,,,,,"{""Type"": ""SOIC"", ""Number of Positions"": ""8"", ""Pitch"": ""0.050\"" (1.27mm)"", ""Outer Dimension"": ""1.300\"" L x 0.900\"" W (33.02mm x 22.86mm)"", ""Inner Dimension"": ""-"", ""Thermal Center Pad"": ""-"", ""Material"": ""Stainless Steel"", ""Thickness"": ""0.0040\"" (0.102mm)""}"
STAINLESS STEEL SOLDER PASTE SQU,"Soldering, Desoldering, Rework Accessories",315-SS-METAL-0.2-68X36-ND,SS-METAL-0.2-68X36,Chip Quik Inc.,1,£7.63000,£7.63,118610462,2025-12-02T10:58:52.794Z,-,Active,Bulk,,,,,"{""Accessory Type"": ""Stencil Squeegee"", ""For Use With/Related Products"": ""Boards, Stencils"", ""Shelf Life"": ""-"", ""Shelf Life Start"": ""-"", ""Storage/Refrigeration Temperature"": ""-""}"
SMT ADAPTER VALUE PACK,"Prototyping Boards, Fabrication Kits",ADAPT_COMBO-ND,ADAPT_COMBO,Chip Quik Inc.,5,£7.28000,£36.40,118610462,2025-12-02T10:58:52.794Z,Proto-Advantage,Active,Bulk,,,,,"{""Kit Type"": ""Adapter, Breakout Boards"", ""Quantity"": ""5 Pieces (5 Values - 1 Each)"", ""Specifications"": ""SMD to DIP""}"
IC MCU 8BIT 1KB FLASH 8SOIC,Embedded,ATTINY13A-SSU-ND,ATTINY13A-SSU,Microchip Technology,25,£0.53720,£13.43,118610462,2025-12-02T10:58:52.794Z,AVR® ATtiny,Active,Tube,AVR,AVR,20MHz,1KB (512 x 16),"{""DigiKey Programmable"": ""Verified"", ""Connectivity"": ""-"", ""Peripherals"": ""Brown-out Detect/Reset, POR, PWM, WDT"", ""Number of I/O"": ""6"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""64 x 8"", ""RAM Size"": ""64 x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.8V ~ 5.5V"", ""Data Converters"": ""A/D 4x10b"", ""Oscillator Type"": ""Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""8-SOIC"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)""}"
IC MCU 8BIT 8KB FLASH 20TSSOP,Embedded,ATTINY87-XURCT-ND,ATTINY87-XUR,Microchip Technology,5,£1.81000,£9.05,118610462,2025-12-02T10:58:52.794Z,AVR® ATtiny,Active,Cut Tape (CT),AVR,AVR,16MHz,8KB (4K x 16),"{""DigiKey Programmable"": ""Not Verified"", ""Connectivity"": ""I2C, LINbus, SPI, UART/USART, USI"", ""Peripherals"": ""Brown-out Detect/Reset, POR, PWM, Temp Sensor, WDT"", ""Number of I/O"": ""16"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""512 x 8"", ""RAM Size"": ""512 x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.8V ~ 5.5V"", ""Data Converters"": ""A/D 11x10b"", ""Oscillator Type"": ""Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""20-TSSOP"", ""Package / Case"": ""20-TSSOP (0.173\"", 4.40mm Width)""}"
IC MAG COMPARATOR 4BIT 16-SOIC,Logic,296-9242-1-ND,CD74HC85M96,Texas Instruments,25,£0.34880,£8.72,118610462,2025-12-02T10:58:52.794Z,74HC,Active,Cut Tape (CT),,,,,"{""Type"": ""Magnitude Comparator"", ""Number of Bits"": ""4"", ""Output"": ""Active High"", ""Output Function"": ""A<B, A=B, A>B"", ""Voltage - Supply"": ""2V ~ 6V"", ""Current - Output High, Low"": ""5.2mA, 5.2mA"", ""Max Propagation Delay @ V, Max CL"": ""33ns @ 6V, 50pF"", ""Current - Quiescent (Iq)"": ""8 µA"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Package / Case"": ""16-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""16-SOIC"", ""Mounting Type"": ""Surface Mount""}"
