description,category,dk_pn,mfr_pn,mfr,qty_shipped,gbp_unit_price,gbp_ext_price,invoice_id,date_shipped,series,product_status,package_type,core_processor,core_type,clock_speed,program_memory_size,other_parameters
SENSOR RTD 100OHM 0.3% 0603,Temperature Sensors,PTS0603100CT-ND,PTS060301B100RP100,Vishay,15,£1.01100,£15.17,118566085,2025-12-01T11:03:00.443Z,PTS,Active,Cut Tape (CT),,,,,"{""Resistance @ 0°C"": ""100 Ohms"", ""Resistance Tolerance"": ""±0.3%"", ""RTD Material"": ""Platinum (Pt)"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Termination"": ""SMD (SMT) Tabs"", ""Accuracy"": ""-"", ""Temperature Coefficient"": ""3850ppm/°C"", ""Current"": ""500 µA"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""0603 (1608 Metric)""}"
SENSOR RTD 100OHM 0.3% 2SIP,Temperature Sensors,1759-1020-ND,32208548,Yageo Nexensos,10,£1.61000,£16.10,118566085,2025-12-01T11:03:00.443Z,M222,Active,Bulk,,,,,"{""Resistance @ 0°C"": ""100 Ohms"", ""Resistance Tolerance"": ""±0.12%"", ""RTD Material"": ""Platinum (Pt)"", ""Operating Temperature"": ""-70°C ~ 500°C"", ""Termination"": ""PC Pins"", ""Accuracy"": ""±0.3°C"", ""Temperature Coefficient"": ""3850ppm/°C"", ""Current"": ""1 mA"", ""Mounting Type"": ""Through Hole"", ""Package / Case"": ""2-SIP""}"
IC CPLD 192MC 7.5NS 144TQFP,Embedded,544-2805-ND,5M240ZT144C5N,Altera,1,£5.30000,£5.30,118566085,2025-12-01T11:03:00.443Z,MAX® V,Active,Tray,,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Programmable Type"": ""In System Programmable"", ""Delay Time tpd(1) Max"": ""7.5 ns"", ""Voltage Supply - Internal"": ""1.71V ~ 1.89V"", ""Number of Logic Elements/Blocks"": ""240"", ""Number of Macrocells"": ""192"", ""Number of I/O"": ""114"", ""Operating Temperature"": ""0°C ~ 85°C (TJ)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""144-LQFP"", ""Supplier Device Package"": ""144-TQFP (20x20)""}"
IC MCU 32BIT 32KB FLASH 8SO,Embedded,497-STM32C011J6M6-ND,STM32C011J6M6,STMicroelectronics,10,£0.41400,£4.14,118566085,2025-12-01T11:03:00.443Z,STM32C0,Active,Tube,ARM® Cortex®-M0+,Cortex-M0+,48MHz,32KB (32K x 8),"{""DigiKey Programmable"": ""Not Verified"", ""Connectivity"": ""I2C, IrDA, LINbus, SPI, UART/USART"", ""Peripherals"": ""Brown-out Detect/Reset, POR, PWM, Temp Sensor, WDT"", ""Number of I/O"": ""6"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""6K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""2V ~ 3.6V"", ""Data Converters"": ""A/D 7x12b SAR"", ""Oscillator Type"": ""External, Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""8-SO"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)""}"
IC MCU 32BIT 32KB FLASH 8SO,Embedded,497-STM32C011J6M6-ND,STM32C011J6M6,STMicroelectronics,10,£0.41400,£4.14,118566085,2025-12-01T11:03:00.443Z,STM32C0,Active,Tube,ARM® Cortex®-M0+,Cortex-M0+,48MHz,32KB (32K x 8),"{""DigiKey Programmable"": ""Not Verified"", ""Connectivity"": ""I2C, IrDA, LINbus, SPI, UART/USART"", ""Peripherals"": ""Brown-out Detect/Reset, POR, PWM, Temp Sensor, WDT"", ""Number of I/O"": ""6"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""6K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""2V ~ 3.6V"", ""Data Converters"": ""A/D 7x12b SAR"", ""Oscillator Type"": ""External, Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""8-SO"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)""}"
IC MCU 8BIT 4KB FLASH 8SOIC,Embedded,ATTINY402-SSNRCT-ND,ATTINY402-SSNR,Microchip Technology,25,£0.36080,£9.02,118566085,2025-12-01T11:03:00.443Z,"tinyAVR™ 0, Functional Safety (FuSa)",Active,Cut Tape (CT),AVR,AVR,20MHz,4KB (4K x 8),"{""DigiKey Programmable"": ""Verified"", ""Connectivity"": ""I2C, IrDA, LINbus, SPI, UART/USART"", ""Peripherals"": ""Brown-out Detect/Reset, POR, PWM, WDT"", ""Number of I/O"": ""6"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""128 x 8"", ""RAM Size"": ""256 x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.8V ~ 5.5V"", ""Data Converters"": ""A/D 6x10b"", ""Oscillator Type"": ""Internal"", ""Operating Temperature"": ""-40°C ~ 105°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""8-SOIC"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)""}"
CAPACITIVE DIGITAL ISOLATOR STAN,Digital Isolators,732-18012115421HCT-ND,18012115421H,Würth Elektronik,50,£0.87020,£43.51,118566085,2025-12-01T11:03:00.443Z,WPME-CDIS,Active,Cut Tape (CT),,,,,"{""Technology"": ""Capacitive Coupling"", ""Type"": ""CAN, RS232, RS485, SPI"", ""Isolated Power"": ""Yes"", ""Number of Channels"": ""2"", ""Inputs - Side 1/Side 2"": ""1/1"", ""Channel Type"": ""Unidirectional"", ""Voltage - Isolation"": ""5000Vrms"", ""Common Mode Transient Immunity (Min)"": ""150kV/µs (Typ)"", ""Data Rate"": ""150Mbps"", ""Propagation Delay tpLH / tpHL (Max)"": ""15ns, 15ns"", ""Pulse Width Distortion (Max)"": ""4.5ns"", ""Rise / Fall Time (Typ)"": ""2.5ns, 2.5ns"", ""Voltage - Supply"": ""2.375V ~ 5.5V"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Operating Temperature"": ""-40°C ~ 125°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.295\"", 7.50mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
OPTOISO 3.75KV 1CH TRANS 4-SOP,"Optocouplers, Optoisolators",160-1337-1-ND,LTV-356T,Lite-On Inc.,100,£0.11980,£11.98,118566085,2025-12-01T11:03:00.443Z,LTV-356T,Active,Cut Tape (CT),,,,,"{""Number of Channels"": ""1"", ""Voltage - Isolation"": ""3750Vrms"", ""Current Transfer Ratio (Min)"": ""50% @ 5mA"", ""Current Transfer Ratio (Max)"": ""600% @ 5mA"", ""Turn On / Turn Off Time (Typ)"": ""-"", ""Rise / Fall Time (Typ)"": ""4µs, 3µs"", ""Input Type"": ""DC"", ""Output Type"": ""Transistor"", ""Voltage - Output (Max)"": ""80V"", ""Current - Output / Channel"": ""50mA"", ""Voltage - Forward (Vf) (Typ)"": ""1.2V"", ""Current - DC Forward (If) (Max)"": ""50 mA"", ""Vce Saturation (Max)"": ""200mV"", ""Operating Temperature"": ""-55°C ~ 110°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""4-SMD, Gull Wing"", ""Supplier Device Package"": ""4-SOP""}"
"SOT-23, MOSFET",Transistors,3757-2N7002K_R1_00001CT-ND,2N7002K_R1_00001,Panjit International Inc.,150,£0.03350,£5.03,118566085,2025-12-01T11:03:00.443Z,-,Active,Cut Tape (CT),,,,,"{""FET Type"": ""N-Channel"", ""Technology"": ""MOSFET (Metal Oxide)"", ""Drain to Source Voltage (Vdss)"": ""60 V"", ""Current - Continuous Drain (Id) @ 25°C"": ""300mA (Ta)"", ""Drive Voltage (Max Rds On, Min Rds On)"": ""4.5V, 10V"", ""Rds On (Max) @ Id, Vgs"": ""3Ohm @ 500mA, 10V"", ""Vgs(th) (Max) @ Id"": ""2.5V @ 250µA"", ""Gate Charge (Qg) (Max) @ Vgs"": ""0.8 nC @ 5 V"", ""Vgs (Max)"": ""±20V"", ""Input Capacitance (Ciss) (Max) @ Vds"": ""35 pF @ 25 V"", ""FET Feature"": ""-"", ""Power Dissipation (Max)"": ""350mW (Ta)"", ""Operating Temperature"": ""-55°C ~ 150°C (TJ)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""SOT-23"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3""}"
IC OPAMP GP 2 CIRCUIT 8SOIC,Linear,MCP6002T-I/SNCT-ND,MCP6002T-I/SN,Microchip Technology,25,£0.26080,£6.52,118554515,2025-12-01T10:16:17.324Z,-,Active,Cut Tape (CT),,,,,"{""Amplifier Type"": ""Standard (General Purpose)"", ""Number of Circuits"": ""2"", ""Output Type"": ""Rail-to-Rail"", ""Slew Rate"": ""0.6V/µs"", ""Gain Bandwidth Product"": ""1 MHz"", ""Current - Input Bias"": ""1 pA"", ""Voltage - Input Offset"": ""4.5 mV"", ""Current - Supply"": ""100µA (x2 Channels)"", ""Current - Output / Channel"": ""23 mA"", ""Voltage - Supply Span (Min)"": ""1.8 V"", ""Voltage - Supply Span (Max)"": ""6 V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC REG BOOST ADJ 500MA SOT23-5,Power Management (PMIC),AP3012KTR-E1DICT-ND,AP3012KTR-E1,Diodes Incorporated,50,£0.25120,£12.56,118554515,2025-12-01T10:16:17.324Z,-,Active,Cut Tape (CT),,,,,"{""Function"": ""Step-Up"", ""Output Configuration"": ""Positive"", ""Topology"": ""Boost"", ""Output Type"": ""Adjustable"", ""Number of Outputs"": ""1"", ""Voltage - Input (Min)"": ""2.6V"", ""Voltage - Input (Max)"": ""16V"", ""Voltage - Output (Min/Fixed)"": ""1.25V"", ""Voltage - Output (Max)"": ""29V"", ""Current - Output"": ""500mA (Switch)"", ""Frequency - Switching"": ""1.5MHz"", ""Synchronous Rectifier"": ""No"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""SC-74A, SOT-753"", ""Supplier Device Package"": ""SOT-23-5""}"
RES 1M OHM 1% 1/8W 0805,Chip Resistor - Surface Mount,311-1.00MCRCT-ND,RC0805FR-071ML,YAGEO,100,£0.00540,£0.54,118554515,2025-12-01T10:16:17.324Z,RC_L,Active,Cut Tape (CT),,,,,"{""Resistance"": ""1 MOhms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.125W, 1/8W"", ""Composition"": ""Thick Film"", ""Features"": ""Moisture Resistant"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0805 (2012 Metric)"", ""Supplier Device Package"": ""0805"", ""Size / Dimension"": ""0.079\"" L x 0.049\"" W (2.00mm x 1.25mm)"", ""Height - Seated (Max)"": ""0.024\"" (0.60mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
TRIMMER 10K OHM 0.5W PC PIN TOP,Trimmer Potentiometers,3362P-103LF-ND,3362P-1-103LF,Bourns Inc.,10,£0.58700,£5.87,118554515,2025-12-01T10:16:17.324Z,Trimpot® 3362 - Sealed,Active,Tube,,,,,"{""Resistance"": ""10 kOhms"", ""Power (Watts)"": ""0.5W, 1/2W"", ""Tolerance"": ""±10%"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Number of Turns"": ""1.0"", ""Adjustment Type"": ""Top Adjustment"", ""Resistive Material"": ""Cermet"", ""Mounting Type"": ""Through Hole"", ""Termination Style"": ""PC Pins"", ""Size / Dimension"": ""Rectangular - 0.275\"" x 0.260\"" Face (6.99mm x 6.60mm)""}"
DURIS E 2835,LED Color Lighting,475-GRJTLPS1.23-G7H4-45-1-150-R33CT-ND,GR JTLPS1.23-G7H4-45-1-150-R33,ams-OSRAM USA INC.,50,£0.16900,£8.45,118554515,2025-12-01T10:16:17.324Z,DURIS® E 2835,Active,Cut Tape (CT),,,,,"{""Color"": ""Red"", ""Wavelength"": ""620nm (Typ)"", ""Current - Test"": ""150mA"", ""Voltage - Forward (Vf) (Typ)"": ""2.2V"", ""Lumens/Watt @ Current - Test"": ""74 lm/W"", ""Current - Max"": ""200mA"", ""Luminous Flux @ Current/Temperature"": ""24lm (Typ)"", ""Temperature - Test"": ""25°C"", ""Viewing Angle"": ""120°"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""1411 (3528 Metric)"", ""Supplier Device Package"": ""1411"", ""Size / Dimension"": ""0.138\"" L x 0.110\"" W (3.50mm x 2.80mm)"", ""Height - Seated (Max)"": ""0.031\"" (0.80mm)"", ""Thermal Resistance of Package"": ""9.7°C/W""}"
LED LUXEON 3535L GRN 530NM 3535,LED Color Lighting,1416-1984-1-ND,L135-G525003500000,Lumileds,15,£0.54500,£8.18,118554515,2025-12-01T10:16:17.324Z,LUXEON 3535L,Active,Cut Tape (CT),,,,,"{""Color"": ""Green"", ""Wavelength"": ""530nm (520nm ~ 540nm)"", ""Current - Test"": ""100mA"", ""Voltage - Forward (Vf) (Typ)"": ""3.2V"", ""Lumens/Watt @ Current - Test"": ""69 lm/W"", ""Current - Max"": ""125mA"", ""Luminous Flux @ Current/Temperature"": ""22lm (21lm ~ 23lm)"", ""Temperature - Test"": ""25°C"", ""Viewing Angle"": ""115°"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""1414 (3535 Metric)"", ""Supplier Device Package"": ""3535"", ""Size / Dimension"": ""0.138\"" L x 0.134\"" W (3.50mm x 3.40mm)"", ""Height - Seated (Max)"": ""0.035\"" (0.90mm)"", ""Thermal Resistance of Package"": ""42°C/W""}"
IC SRAM 512KBIT SPI/DUAL 8SOIC,Memory,23LCV512-I/SN-ND,23LCV512-I/SN,Microchip Technology,10,£1.59000,£15.90,118554515,2025-12-01T10:16:17.324Z,-,Active,Tube,,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Memory Type"": ""Volatile"", ""Memory Format"": ""SRAM"", ""Technology"": ""SRAM - Synchronous"", ""Memory Size"": ""512Kbit"", ""Memory Organization"": ""64K x 8"", ""Memory Interface"": ""SPI - Dual I/O"", ""Clock Frequency"": ""20 MHz"", ""Write Cycle Time - Word, Page"": ""-"", ""Voltage - Supply"": ""2.5V ~ 5.5V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC GATE AND 1CH 2-INP SOT23-5,Logic,296-11601-1-ND,SN74LVC1G08DBVR,Texas Instruments,100,£0.03760,£3.76,118554515,2025-12-01T10:16:17.324Z,74LVC,Active,Cut Tape (CT),,,,,"{""Logic Type"": ""AND Gate"", ""Number of Circuits"": ""1"", ""Number of Inputs"": ""2"", ""Features"": ""-"", ""Voltage - Supply"": ""1.65V ~ 5.5V"", ""Current - Quiescent (Max)"": ""10 µA"", ""Current - Output High, Low"": ""32mA, 32mA"", ""Input Logic Level - Low"": ""-"", ""Input Logic Level - High"": ""-"", ""Max Propagation Delay @ V, Max CL"": ""4ns @ 5V, 50pF"", ""Operating Temperature"": ""-40°C ~ 125°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""SOT-23-5"", ""Package / Case"": ""SC-74A, SOT-753""}"
RES SMD 4.7K OHM 5% 1/10W 0603,Chip Resistor - Surface Mount,CR0603-JW-472ELFCT-ND,CR0603-JW-472ELF,Bourns Inc.,100,£0.00660,£0.66,118554515,2025-12-01T10:16:17.324Z,CR0603,Active,Cut Tape (CT),,,,,"{""Resistance"": ""4.7 kOhms"", ""Tolerance"": ""±5%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thick Film"", ""Features"": ""Moisture Resistant"", ""Temperature Coefficient"": ""±200ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
DIODE ZENER 12V 500MW SOD123F,Diodes,BZT52B12RHGCT-ND,BZT52B12 RHG,Taiwan Semiconductor Corporation,100,£0.03220,£3.22,118554515,2025-12-01T10:16:17.324Z,-,Active,Cut Tape (CT),,,,,"{""Voltage - Zener (Nom) (Vz)"": ""12 V"", ""Tolerance"": ""±2%"", ""Power - Max"": ""500 mW"", ""Impedance (Max) (Zzt)"": ""25 Ohms"", ""Current - Reverse Leakage @ Vr"": ""90 nA @ 8 V"", ""Voltage - Forward (Vf) (Max) @ If"": ""1 V @ 10 mA"", ""Operating Temperature"": ""150°C (TJ)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""SOD-123F"", ""Supplier Device Package"": ""SOD-123F""}"
RES KIT 1K-9.76K 1/10W 1920PCS,Resistor Kits,KIT-RMCF0603FT-04-ND,KIT-RMCF0603FT-04,Stackpole Electronics Inc,1,£29.46000,£29.46,118554515,2025-12-01T10:16:17.324Z,RMCF,Active,Book,,,,,"{""Kit Type"": ""Thick Film"", ""Resistance (Ohms)"": ""1k ~ 9.76k"", ""Power (Watts)"": ""1/10W"", ""Tolerance"": ""±1%"", ""Features"": ""Automotive AEC-Q200"", ""Quantity"": ""1920 Pieces (96 Values - 20 Each)"", ""Mounting Type"": ""Surface Mount"", ""Packages Included"": ""0603 (1608 Metric)""}"
RES 22 OHM 1% 1/10W 0603,Chip Resistor - Surface Mount,RMCF0603FT22R0CT-ND,RMCF0603FT22R0,Stackpole Electronics Inc,500,£0.00368,£1.84,118554515,2025-12-01T10:16:17.324Z,RMCF,Active,Cut Tape (CT),,,,,"{""Resistance"": ""22 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thick Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.061\"" L x 0.031\"" W (1.55mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
RES 33 OHM 1% 1/10W 0603,Chip Resistor - Surface Mount,541-3988-1-ND,CRCW060333R0FKEAC,Vishay Dale,500,£0.00722,£3.61,118554515,2025-12-01T10:16:17.324Z,CRCW-C,Active,Cut Tape (CT),,,,,"{""Resistance"": ""33 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thick Film"", ""Features"": ""-"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
RES 330 OHM 1% 1/10W 0603,Chip Resistor - Surface Mount,RMCF0603FT330RCT-ND,RMCF0603FT330R,Stackpole Electronics Inc,500,£0.00368,£1.84,118554515,2025-12-01T10:16:17.324Z,RMCF,Active,Cut Tape (CT),,,,,"{""Resistance"": ""330 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thick Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.061\"" L x 0.031\"" W (1.55mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
RES 470 OHM 1% 1/10W 0603,Chip Resistor - Surface Mount,RMCF0603FT470RCT-ND,RMCF0603FT470R,Stackpole Electronics Inc,500,£0.00440,£2.20,118554515,2025-12-01T10:16:17.324Z,RMCF,Active,Cut Tape (CT),,,,,"{""Resistance"": ""470 Ohms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thick Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.061\"" L x 0.031\"" W (1.55mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
RES 1K OHM 1% 1/10W 0603,Chip Resistor - Surface Mount,RMCF0603FT1K00CT-ND,RMCF0603FT1K00,Stackpole Electronics Inc,500,£0.00368,£1.84,118554515,2025-12-01T10:16:17.324Z,RMCF,Active,Cut Tape (CT),,,,,"{""Resistance"": ""1 kOhms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thick Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.061\"" L x 0.031\"" W (1.55mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
RES 4.7K OHM 1% 1/10W 0603,Chip Resistor - Surface Mount,RMCF0603FT4K70CT-ND,RMCF0603FT4K70,Stackpole Electronics Inc,500,£0.00368,£1.84,118554515,2025-12-01T10:16:17.324Z,RMCF,Active,Cut Tape (CT),,,,,"{""Resistance"": ""4.7 kOhms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thick Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.061\"" L x 0.031\"" W (1.55mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
RES 100K OHM 1% 1/10W 0603,Chip Resistor - Surface Mount,RMCF0603FG100KCT-ND,RMCF0603FG100K,Stackpole Electronics Inc,500,£0.00254,£1.27,118554515,2025-12-01T10:16:17.324Z,RMCF,Active,Cut Tape (CT),,,,,"{""Resistance"": ""100 kOhms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thick Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.061\"" L x 0.031\"" W (1.55mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
IC REG LINEAR 3.3V 1.2A SOT-223,Power Management (PMIC),497-17239-1-ND,LDL1117S33R,STMicroelectronics,100,£0.14780,£14.78,118554515,2025-12-01T10:16:17.324Z,-,Active,Cut Tape (CT),,,,,"{""Output Configuration"": ""Positive"", ""Output Type"": ""Fixed"", ""Number of Regulators"": ""1"", ""Voltage - Input (Max)"": ""18V"", ""Voltage - Output (Min/Fixed)"": ""3.3V"", ""Voltage - Output (Max)"": ""-"", ""Voltage Dropout (Max)"": ""0.6V @ 1.2A"", ""Current - Output"": ""1.2A"", ""Current - Quiescent (Iq)"": ""500 µA"", ""PSRR"": ""87dB ~ 65dB (120Hz ~ 100kHz)"", ""Control Features"": ""-"", ""Protection Features"": ""Over Current, Over Temperature, Under Voltage Lockout (UVLO)"", ""Operating Temperature"": ""-40°C ~ 125°C (TJ)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""TO-261-4, TO-261AA"", ""Supplier Device Package"": ""SOT-223""}"
FIXED IND 2.2UH 2.3A 0.082OHM SM,Fixed Inductors,490-13055-1-ND,DFE252012F-2R2M=P2,Murata Electronics,100,£0.12620,£12.62,118554515,2025-12-01T10:16:17.324Z,DFE252012F,Active,Cut Tape (CT),,,,,"{""Type"": ""Drum Core, Wirewound"", ""Material - Core"": ""Iron Powder"", ""Inductance"": ""2.2 µH"", ""Tolerance"": ""±20%"", ""Current Rating (Amps)"": ""2.3 A"", ""Current - Saturation (Isat)"": ""3.3A"", ""Shielding"": ""Shielded"", ""DC Resistance (DCR)"": ""82mOhm Max"", ""Q @ Freq"": ""-"", ""Frequency - Self Resonant"": ""-"", ""Ratings"": ""-"", ""Operating Temperature"": ""-40°C ~ 125°C"", ""Inductance Frequency - Test"": ""1 MHz"", ""Features"": ""Flat Wire"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""1008 (2520 Metric)"", ""Supplier Device Package"": ""2520"", ""Size / Dimension"": ""0.098\"" L x 0.079\"" W (2.50mm x 2.00mm)"", ""Height - Seated (Max)"": ""0.047\"" (1.20mm)""}"
IC BATT CHG LI-ION 1CELL 10MSOP,Power Management (PMIC),296-41204-1-ND,BQ24092DGQR,Texas Instruments,25,£0.63200,£15.80,118554515,2025-12-01T10:16:17.324Z,-,Active,Cut Tape (CT),,,,,"{""Battery Chemistry"": ""Lithium Ion/Polymer"", ""Number of Cells"": ""1"", ""Current - Charging"": ""Constant - Programmable"", ""Programmable Features"": ""Current"", ""Fault Protection"": ""Over Temperature, Over Voltage, Short Circuit"", ""Charge Current - Max"": ""1A"", ""Battery Pack Voltage"": ""4.2V"", ""Voltage - Supply (Max)"": ""6.45V"", ""Interface"": ""USB"", ""Operating Temperature"": ""0°C ~ 125°C (TJ)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""10-PowerTFSOP, 10-MSOP (0.118\"", 3.00mm Width)"", ""Supplier Device Package"": ""10-HVSSOP""}"
