mfr_pn,dk_pn,description,qty_bought
"T2N7002AK,LM",T2N7002AKLMCT-ND,MOSFET N-CH 60V 200MA SOT23,100
"T2N7002AK,LM",T2N7002AKLMCT-ND,MOSFET N-CH 60V 200MA SOT23,50
AP22818AKCWT-7,31-AP22818AKCWT-7CT-ND,USBPOWERSWITCHTSOT25T&R3K,100
STM32U083RCT6,497-STM32U083RCT6-ND,IC MCU 32BIT 256KB FLASH 64LQFP,10
STM32U5A5VJT6Q,497-STM32U5A5VJT6Q-ND,IC MCU 32BIT 4MB FLASH 100LQFP,10
C0603C104K5RACTU,399-C0603C104K5RACTUCT-ND,CAP CER 0.1UF 50V X7R 0603,300
CL21A106KOQNNNE,1276-1096-1-ND,CAP CER 10UF 16V X5R 0805,300
LI0603G121R-10,240-2367-1-ND,FERRITE BEAD 120 OHM 0603 1LN,300
R2520-24.000-8-1010-EXT-TR-NS1,2151-R2520-24.000-8-1010-EXT-TR-NS1CT-ND,CRYSTAL 24.000MHZ 8PF SMD,50
C1608C0G1H080D080AA,445-5043-1-ND,CAP CER 8PF 50V C0G 0603,100
CM9V-T1A-32.768KHZ-7PF-20PPM-TA-QC,2195-CM9V-T1A-32.768KHZ-7PF-20PPM-TA-QCCT-ND,CRYSTAL 32.7680KHZ 7PF SMD,50
SN74CBTLV3257PWR,296-9138-1-ND,IC MUX/DEMUX 4 X 1:2 16-TSSOP,25
RC0603FR-0710KL,311-10.0KHRCT-ND,RES 10K OHM 1% 1/10W 0603,300
RC0603FR-0747KL,311-47.0KHRCT-ND,RES 47K OHM 1% 1/10W 0603,300
ESD122DMXR,296-48543-1-ND,TVS DIODE 3.6VWM 8.4VC 3X2SON,50
C0603C609C5GACAUTO,399-C0603C609C5GACAUTOCT-ND,CAP CER 6PF 50V C0G/NP0 0603,60
BM05B-SRSS-TB,455-BM05B-SRSS-TBCT-ND,CONN HEADER SMD 5POS 1MM,20
TSM-102-01-L-SV,SAM8979-ND,CONN HEADER SMD 2POS 2.54MM,32
DFE252012F-2R2M=P2,490-13055-1-ND,FIXED IND 2.2UH 2.3A 0.082OHM SM,50
STM32U585ZIT6,497-STM32U585ZIT6-ND,IC MCU 32BIT 2MB FLASH 144LQFP,10
RC0603FR-075K1L,311-5.10KHRCT-ND,RES 5.1K OHM 1% 1/10W 0603,200
LDL1117S33R,497-17239-1-ND,IC REG LINEAR 3.3V 1.2A SOT-223,30
MCP73831T-2ACI/OT,MCP73831T-2ACI/OTCT-ND,IC BATT CNTL LI-ION 1CEL SOT23-5,25
AC0603FR-072KL,YAG3590CT-ND,RES SMD 2K OHM 1% 1/10W 0603,250
NHD-FFC40,NHD-FFC40-ND,PCB ADAPTER 40P FFC-THRU-HOLE,6
NHD-FFC40,NHD-FFC40-ND,PCB ADAPTER 40P FFC-THRU-HOLE,2
PA0188-S,PA0188-S-ND,STENCIL TQFP-144 .5MM,3
PA0109-S,PA0109-S-ND,VQFP-100/TQFP-100 STENCIL,2
PA0020-S,PA0020-S-ND,STENCIL SSOP-28 .65MM,2
PA0001-S,PA0001-S-ND,SOIC-8 STENCIL,3
NDR050P060-S,315-NDR050P060-S-ND,NARROW DUAL ROW 0.5MM PITCH 60-P,1
ST33HTPH2X32AHE4,497-ST33HTPH2X32AHE4CT-ND,ST33HTPH2X32AHE4,4
